wage,hours,IQ,educ,exper,tenure,age,married,black,meduc,feduc
90300,40,91,12,6,12,36,1,0,9,10
9.00E+04,40,86,12,17,15,37,1,0,8,10
62500,40,110,12,18,0,35,1,0,9,8
158600,40,92,14,16,1,36,1,0,12,NA
96200,40,85,10,15,16,38,1,0,9,12
153900,45,120,17,7,8,34,1,0,8,8
111000,52,106,12,11,6,33,1,0,12,12
128200,45,112,16,6,6,31,0,0,12,12
77000,48,91,12,13,2,38,1,0,10,8
1.00E+05,45,90,12,16,0,38,1,0,10,12
89500,40,86,9,17,16,38,1,1,NA,12
120500,40,86,10,13,0,32,1,1,8,NA
75000,40,113,12,11,10,29,1,0,12,12
65400,50,111,13,5,16,38,1,0,12,9
60100,48,111,12,15,3,33,1,0,12,12
6.00E+04,40,106,13,10,11,28,1,0,8,7
43300,40,98,12,11,10,30,0,0,12,11
118800,40,105,12,11,7,30,1,0,12,10
63500,40,105,12,15,15,33,1,0,10,NA
122500,40,118,13,9,14,32,1,0,12,9
115100,45,90,12,19,19,36,1,0,12,8
86500,40,95,12,15,11,32,0,0,9,8
103100,40,112,14,9,5,29,1,0,12,12
104900,55,120,12,9,11,32,1,0,12,10
1.00E+05,45,123,12,12,1,29,1,0,12,10
110500,40,103,13,10,11,30,1,0,16,15
192400,50,121,18,11,7,35,1,0,16,18
134600,40,90,16,9,16,38,1,0,12,12
80900,65,125,12,11,10,29,1,0,12,12
149500,45,109,18,10,3,32,1,0,9,8
134600,50,128,16,10,1,33,0,0,10,9
120000,40,97,12,10,4,31,1,0,12,12
5.00E+04,40,96,12,6,0,33,1,0,12,12
132500,45,97,12,12,5,28,1,0,12,8
9.00E+04,40,78,12,16,5,33,1,1,7,6
8.00E+04,40,112,12,15,3,34,1,0,7,NA
8.00E+04,40,88,12,16,7,38,1,0,2,5
103400,40,97,12,15,16,36,1,0,14,11
98000,40,101,12,4,12,36,1,0,6,9
88400,40,106,10,19,12,34,1,0,7,10
48000,40,59,10,11,5,34,0,0,8,6
92300,40,105,18,7,14,34,1,0,12,12
51300,45,119,17,8,5,31,0,0,12,8
110500,40,93,11,17,16,37,0,0,8,8
119300,50,82,12,19,10,36,1,0,12,NA
277100,50,134,18,6,7,34,1,0,16,16
77900,40,84,12,9,6,30,1,0,8,12
95000,60,98,11,13,6,31,1,0,12,12
139400,40,118,16,11,8,30,1,0,13,12
149500,45,113,17,13,9,33,1,0,12,8
65000,40,100,12,4,3,28,1,0,9,11
67000,40,93,13,9,5,29,1,0,12,12
112600,40,119,16,5,8,32,1,0,12,10
45000,64,67,12,11,1,33,0,1,11,4
102800,40,111,12,19,12,37,1,1,12,NA
240400,50,106,15,8,0,32,1,0,12,12
189900,40,127,18,9,14,36,0,0,10,NA
75700,40,113,16,10,9,33,1,0,12,12
125000,40,115,14,9,1,29,1,0,12,12
116200,48,102,16,8,11,31,1,0,12,NA
102500,40,85,15,9,13,29,1,1,14,12
110000,50,117,16,11,12,32,1,0,12,10
71400,35,125,16,7,5,28,1,0,10,10
131800,35,118,16,16,17,37,1,0,8,12
141100,45,121,18,14,3,38,1,0,12,16
216200,40,115,17,4,4,38,1,0,12,12
127300,55,120,14,11,16,36,1,0,12,NA
114000,48,109,12,16,15,35,1,0,11,6
57800,40,109,13,7,4,30,0,0,12,11
94200,40,85,12,7,10,38,1,0,NA,NA
105800,40,85,12,17,8,38,1,0,12,NA
75000,40,106,14,9,9,29,1,0,11,10
1.00E+05,60,101,12,11,6,30,1,0,10,10
95100,60,116,12,9,7,30,1,0,12,9
63500,47,91,12,13,2,31,1,0,7,7
125000,40,91,12,13,1,34,1,0,11,5
67500,40,110,12,6,15,34,1,0,7,NA
4.00E+04,40,75,12,11,6,32,1,0,7,12
57700,50,94,12,9,8,29,1,0,12,8
59000,40,109,13,10,7,29,1,0,12,12
92300,50,122,16,10,10,31,1,0,8,8
125000,50,102,12,6,2,32,0,0,11,8
110000,40,122,14,11,8,33,1,0,8,10
113000,50,105,12,18,2,37,1,0,10,10
65200,50,113,12,14,4,36,0,0,9,9
61800,42,104,12,6,2,30,1,0,8,12
96200,50,124,16,7,14,34,1,0,9,11
52900,40,110,13,14,11,32,1,0,12,8
81700,40,95,12,16,14,33,1,0,12,12
96200,40,120,16,8,9,32,1,0,18,NA
84000,40,105,12,19,15,38,1,0,12,8
86600,40,121,16,7,4,28,1,0,12,12
240400,50,96,14,1,1,36,1,0,8,10
112600,40,110,12,16,2,32,1,0,9,12
116000,40,92,12,8,8,31,1,0,12,11
72300,40,98,12,15,5,38,1,0,9,NA
177800,40,109,16,14,13,36,1,0,11,12
190300,48,118,18,13,5,36,1,0,11,11
101000,40,97,18,7,14,34,1,0,14,NA
97100,40,95,17,5,11,37,1,0,16,8
52500,40,99,12,9,2,34,1,0,10,8
52500,40,106,12,12,13,30,1,0,10,12
67000,45,117,12,10,3,30,1,0,12,NA
5.00E+04,45,90,12,19,4,37,1,0,12,6
105800,45,98,14,14,15,34,1,0,NA,NA
55000,46,95,12,18,15,35,1,0,12,11
5.00E+04,45,115,12,14,1,32,1,0,12,11
72700,55,106,15,10,5,31,0,0,12,12
86500,40,114,12,6,8,30,1,0,8,8
108100,40,92,13,8,2,30,1,0,12,10
130400,45,119,17,9,9,31,1,0,13,12
57500,40,85,13,6,1,30,1,0,13,12
62300,45,98,16,7,1,30,1,0,12,12
51500,45,114,13,8,10,28,1,0,12,12
127300,55,84,18,14,4,37,1,0,8,12
99000,40,108,13,13,9,33,1,0,16,16
6.00E+04,40,107,12,16,6,33,1,0,8,4
116000,40,84,12,17,2,38,1,0,16,12
5.00E+04,55,86,12,11,9,29,1,0,10,12
79500,45,88,12,17,18,35,1,0,10,12
5.00E+04,50,97,11,20,3,37,1,0,NA,NA
74000,50,84,10,23,13,38,1,0,NA,9
125000,40,117,16,10,7,33,1,0,12,14
101400,55,110,16,13,9,30,0,0,12,14
125000,32,104,13,13,3,33,1,0,9,NA
91300,40,110,14,4,13,29,1,0,9,NA
134600,40,99,16,9,8,30,1,0,11,12
44500,40,80,10,19,0,38,1,0,NA,NA
26500,40,101,12,18,2,37,1,0,NA,NA
125000,40,117,14,7,1,28,1,0,12,12
160700,56,108,13,7,9,36,1,0,NA,NA
145200,35,69,16,12,15,38,1,1,10,10
139100,50,109,12,14,8,32,1,1,11,9
82100,45,85,16,8,2,32,1,0,8,8
79400,40,114,16,9,7,29,1,0,11,9
5.00E+04,30,90,13,10,1,38,1,0,NA,NA
52000,50,107,18,6,3,29,1,0,12,14
173000,50,117,18,12,12,37,1,0,12,8
192400,50,112,18,9,10,38,1,0,16,18
115500,60,106,18,10,2,37,1,0,14,18
216200,40,116,15,9,4,31,1,0,12,17
92300,50,123,14,8,7,31,1,0,8,NA
111500,40,118,16,12,13,33,1,0,8,NA
44900,36,91,12,7,2,30,0,0,NA,NA
150000,40,103,12,10,11,34,1,0,12,7
82600,40,114,14,20,3,37,1,0,8,6
93700,40,102,12,16,8,35,1,0,12,6
97800,48,104,12,19,15,36,1,0,6,NA
103100,40,112,14,14,12,33,0,0,14,12
127200,40,107,12,10,1,30,1,0,12,12
113600,50,117,14,16,12,34,1,0,12,12
8.00E+04,45,110,12,19,12,36,1,0,NA,NA
133900,38,96,12,8,9,33,1,0,12,11
106300,40,90,12,14,12,32,1,1,8,12
93500,44,97,12,10,6,29,1,0,8,7
80800,40,99,12,18,13,38,1,1,9,8
37500,40,99,10,12,2,30,1,0,8,5
53700,40,97,12,14,8,31,0,1,11,NA
108200,55,95,12,11,4,29,1,1,11,NA
93000,40,126,14,10,1,31,0,0,8,NA
115500,40,109,17,13,4,38,1,0,12,8
54800,40,86,11,7,0,33,1,1,11,NA
62200,45,119,16,12,1,33,1,0,12,12
84100,40,102,16,10,1,29,1,0,12,12
76900,55,105,18,7,15,38,0,0,9,5
58700,38,117,17,8,5,29,1,0,12,NA
192400,45,112,16,17,18,38,1,0,12,12
105800,40,89,12,7,3,29,1,0,8,6
41700,48,131,12,7,1,28,0,0,12,6
120200,48,114,16,6,6,28,1,0,16,16
115400,40,98,14,18,2,37,1,0,10,14
107000,40,124,13,4,9,32,1,0,NA,NA
120200,40,125,14,10,11,29,1,0,12,12
71100,45,100,18,13,3,36,1,0,10,16
120200,40,84,14,6,5,31,1,1,11,9
85000,43,113,12,7,3,28,1,0,8,12
1.00E+05,40,102,16,13,11,35,1,0,10,12
49000,49,82,18,7,8,31,0,0,12,9
1.00E+05,40,112,14,15,4,35,1,0,12,10
86500,40,111,16,11,4,31,1,0,8,5
137500,40,96,13,3,3,30,1,0,11,8
158600,40,127,16,16,12,37,1,0,16,16
160200,65,97,15,14,14,37,1,0,8,NA
307800,65,120,14,12,13,36,1,0,12,NA
89800,40,101,16,7,9,35,0,0,16,14
90600,40,120,14,16,2,37,1,0,12,12
95200,40,99,13,10,10,31,1,1,8,10
57100,40,78,13,10,1,29,0,1,8,9
44500,45,110,12,15,13,32,0,0,5,11
28900,40,94,12,9,0,30,1,0,5,11
144400,40,120,16,12,15,37,1,0,17,13
96200,55,108,12,19,21,36,1,0,8,8
107500,40,103,12,17,10,33,1,0,11,11
90900,55,97,11,17,5,35,1,0,NA,NA
125000,40,106,12,14,19,35,1,0,11,13
62000,40,99,11,10,5,29,1,1,NA,NA
101600,40,72,10,14,15,37,1,1,11,NA
8.00E+04,40,88,10,21,14,37,1,1,11,8
105000,40,119,16,7,18,37,0,0,12,13
107900,50,87,12,18,9,36,1,0,8,NA
65400,50,121,17,12,13,34,1,0,11,12
78100,50,112,12,8,10,30,1,0,12,8
103800,48,103,15,8,2,36,1,0,12,15
192400,50,99,16,16,14,37,1,0,16,18
120200,40,101,15,15,17,37,1,0,12,12
66600,70,117,15,8,2,32,1,0,NA,NA
90500,45,109,14,11,14,36,1,0,8,8
89000,70,73,12,6,8,31,1,0,12,12
81700,40,116,16,10,7,31,1,0,16,16
81200,40,98,12,10,2,29,0,0,12,12
57700,60,104,14,6,2,30,1,0,14,12
75600,40,78,14,9,2,31,1,0,12,12
101100,40,104,12,20,7,37,1,0,NA,NA
115500,45,85,12,14,1,34,1,0,12,12
102500,40,104,12,12,7,29,1,0,12,10
135000,40,107,12,17,12,35,1,0,NA,NA
100100,40,109,12,20,22,37,1,0,8,10
79600,48,119,13,16,15,37,1,1,11,NA
123000,50,96,13,11,12,30,1,0,10,11
75400,40,93,12,13,1,30,1,0,NA,NA
71400,40,90,12,17,1,37,1,0,12,12
1.00E+05,45,103,15,8,3,32,1,0,12,NA
206700,40,106,16,12,13,33,1,0,14,12
91200,40,96,16,11,5,30,1,0,14,12
6.00E+04,40,114,12,8,5,30,1,0,8,8
95100,40,86,11,13,1,31,1,0,9,NA
71100,45,110,16,8,5,32,1,0,13,12
115100,48,87,12,18,9,38,1,0,12,12
1.00E+05,40,89,12,9,5,28,1,0,13,12
84100,44,106,12,15,10,31,1,0,8,NA
4.00E+04,70,100,12,12,3,32,1,0,5,8
117500,45,111,12,17,14,34,1,0,16,4
120200,40,100,12,18,2,37,1,0,12,12
144200,40,114,12,16,17,33,1,0,12,10
53800,55,98,18,5,1,34,1,0,13,NA
78100,40,89,11,13,10,30,1,0,9,8
75000,60,74,10,13,9,30,1,0,11,9
84100,48,110,18,13,1,37,0,1,12,12
7.00E+04,50,130,13,14,1,38,1,0,11,14
134600,50,108,16,9,4,36,1,0,12,10
8.00E+04,45,98,12,16,12,33,1,0,10,8
125000,40,125,16,9,10,30,1,0,16,NA
110500,40,104,16,5,8,29,1,0,12,12
47500,52,98,14,12,1,30,0,0,8,10
76200,58,104,15,6,4,33,1,0,11,12
96200,40,120,12,18,19,36,1,0,8,8
72100,40,134,13,9,9,30,0,0,8,8
8.00E+04,50,92,9,18,13,34,1,0,8,8
65800,40,129,16,11,9,30,1,0,13,16
127000,40,118,14,4,16,36,1,0,12,12
131300,40,107,12,11,7,28,1,0,12,NA
82400,42,92,12,19,15,38,1,0,12,11
144200,40,118,16,6,7,29,1,0,16,12
140000,42,108,17,7,3,31,1,0,12,14
103800,50,119,12,20,5,36,1,0,12,8
66800,43,109,12,11,12,29,1,0,8,7
110000,40,91,12,18,10,36,1,0,8,8
1.00E+05,45,118,14,9,7,30,1,0,12,10
52300,43,119,13,9,2,30,1,0,14,NA
111100,40,103,14,13,13,31,1,0,14,12
96200,40,120,16,6,4,28,1,0,12,8
72900,47,122,18,6,13,34,1,0,8,6
69000,40,119,12,9,5,28,1,0,8,NA
101000,50,104,11,15,7,38,1,0,9,6
6.00E+04,40,96,11,7,2,29,1,0,8,8
59600,40,83,12,16,17,34,1,0,8,8
85000,44,115,12,11,1,29,1,0,NA,NA
67000,40,88,12,9,2,29,1,0,10,8
79300,40,96,12,17,18,36,1,0,8,8
144200,40,123,17,14,7,38,1,0,12,6
67000,50,108,12,14,8,34,1,0,11,7
87600,45,116,16,10,8,29,1,0,12,12
84100,40,109,18,13,2,36,1,0,16,12
97500,40,97,13,8,0,31,1,0,12,12
122300,40,107,12,7,3,28,1,0,12,10
91000,30,95,12,16,5,35,1,0,12,14
53300,45,109,15,8,2,30,1,0,15,12
75000,40,104,12,15,11,33,1,0,12,12
120600,40,110,12,16,4,38,1,0,12,12
74500,40,94,13,17,1,36,0,0,13,8
9.00E+04,40,103,12,15,1,37,1,0,8,6
117000,47,123,14,9,14,32,1,0,8,12
54000,50,113,12,12,3,31,1,0,6,12
55000,40,110,16,15,1,38,1,0,NA,NA
61500,40,100,14,9,4,30,1,0,12,12
90900,40,95,13,6,2,31,1,0,12,12
76900,40,100,12,18,12,36,1,0,8,8
98400,40,108,13,17,18,37,1,0,15,8
83300,60,101,12,15,12,37,1,0,12,NA
87900,70,90,12,17,10,35,0,0,12,16
102700,45,115,12,16,7,35,1,0,8,5
1.00E+05,55,114,16,10,1,33,1,0,NA,NA
46500,43,84,13,10,1,29,1,0,11,11
110000,40,92,13,21,12,38,1,1,12,NA
64100,45,125,14,9,0,37,1,0,12,11
103500,48,107,12,21,14,38,1,0,11,8
121200,40,129,14,9,3,32,0,0,8,9
95000,40,98,12,11,6,30,1,0,12,12
93800,44,108,12,19,20,38,1,0,8,NA
125000,40,114,16,8,8,30,1,0,2,8
58600,60,111,18,6,10,34,1,0,12,11
69300,53,101,12,7,6,28,1,0,12,12
56200,40,99,12,18,12,34,0,0,12,12
37500,60,75,12,12,5,30,0,0,12,8
67300,40,91,12,7,11,38,1,0,6,NA
65400,50,113,17,1,13,33,1,0,12,10
69200,50,120,12,17,7,35,1,0,8,NA
111100,40,98,14,10,1,29,1,0,12,15
136800,45,107,16,11,1,33,1,0,16,16
128200,45,121,18,7,13,32,1,0,12,12
125000,60,115,11,19,4,38,1,0,NA,NA
134600,40,134,15,15,7,35,1,0,12,10
142400,50,96,17,15,12,37,1,0,NA,NA
85400,48,120,16,8,5,29,0,0,12,16
88800,50,105,15,9,5,32,0,0,12,10
116100,50,121,12,5,10,34,1,0,10,NA
58300,58,113,16,9,0,30,1,0,12,9
126000,45,106,12,5,3,29,1,0,12,13
94700,48,104,18,8,13,35,1,0,9,12
185000,40,80,11,14,15,33,1,0,10,10
157500,40,117,12,13,2,30,1,0,10,10
75800,38,126,16,10,8,28,0,0,12,12
144200,40,112,12,19,15,36,1,0,10,8
48900,55,104,13,20,4,38,1,0,NA,NA
112600,40,116,12,5,0,31,1,1,9,10
1.00E+05,40,70,12,12,5,32,0,1,8,8
5.00E+04,70,83,12,13,11,32,1,0,6,6
120000,50,84,12,13,9,32,1,0,6,6
56500,45,82,10,15,3,33,1,0,NA,NA
192000,40,109,12,13,2,31,1,0,12,8
68400,45,111,14,7,7,29,1,0,12,12
77400,40,94,12,20,4,37,1,0,12,7
23300,60,96,16,7,4,30,1,0,12,8
97500,40,101,13,12,10,30,1,0,12,13
136600,40,90,12,13,1,30,1,0,12,12
213700,40,120,16,16,3,37,1,0,12,12
7.00E+04,40,120,16,10,1,29,1,0,12,12
120000,40,108,12,16,11,33,1,0,8,NA
116100,40,99,13,16,18,36,1,0,12,8
72900,60,80,11,16,15,34,1,0,12,6
75000,45,93,11,17,2,36,1,0,10,5
102600,45,85,12,4,16,38,1,0,NA,NA
111100,45,118,15,11,3,32,1,0,11,10
62500,50,115,12,12,8,31,1,0,12,NA
120000,42,119,16,11,5,30,1,0,10,11
154100,40,94,12,8,1,32,1,0,12,11
115400,40,109,16,12,9,34,1,0,13,16
31000,40,104,13,10,0,33,0,0,14,8
61000,50,89,12,14,4,30,1,0,7,6
174900,43,101,12,16,17,36,1,0,12,8
1.00E+05,40,96,16,9,1,31,0,0,12,7
35000,40,109,12,14,1,36,1,0,9,7
76500,45,94,12,17,18,37,1,0,4,6
79000,40,115,12,15,2,34,1,0,6,5
81800,47,92,12,16,17,38,1,0,8,4
47700,60,71,9,12,1,30,1,0,11,5
93800,50,130,14,15,1,33,1,0,12,11
209900,55,119,16,10,4,32,1,0,12,12
35000,40,74,12,14,3,32,1,0,10,13
94000,48,104,12,13,0,32,1,1,12,8
120200,40,124,15,11,8,28,1,0,10,NA
45000,40,94,15,9,4,31,1,0,12,NA
105800,40,120,16,16,13,37,1,0,12,4
1.00E+05,40,96,11,15,15,37,1,0,8,9
31800,40,67,12,16,5,36,1,1,7,5
55600,40,69,11,13,9,34,0,1,8,8
95800,60,98,12,11,9,28,1,0,12,11
99500,40,92,9,22,13,38,1,1,7,4
160000,50,109,14,16,5,33,1,0,9,10
60600,45,100,18,6,5,30,0,0,12,12
51100,45,101,12,13,1,30,1,0,11,12
141100,45,111,16,11,12,32,1,0,12,9
134600,40,106,16,15,11,37,1,0,8,14
152200,46,102,12,15,16,37,1,0,12,10
107500,40,115,14,9,10,30,1,0,12,10
120000,50,99,12,11,11,28,1,0,10,8
137700,37,118,16,15,1,36,1,0,11,10
87400,55,132,13,8,2,33,1,0,13,16
62500,40,108,13,11,9,30,1,0,12,16
125000,32,98,12,17,2,33,1,0,14,10
108200,40,111,13,20,12,36,1,0,8,11
69300,40,79,11,18,3,38,1,0,8,8
72700,55,97,12,11,11,31,1,0,12,11
61500,50,99,15,16,15,38,1,0,12,14
91300,40,101,16,5,7,31,1,0,12,NA
88400,46,120,17,4,10,36,1,0,12,18
69800,43,97,12,10,4,29,1,0,8,8
8.00E+04,55,106,12,17,18,36,1,0,8,12
81200,40,131,16,9,3,30,0,0,12,12
1.00E+05,40,93,11,16,14,34,1,0,12,8
54900,49,79,12,11,3,32,0,0,8,8
130000,35,100,12,13,15,31,1,0,11,NA
92300,50,107,16,9,8,33,1,0,9,8
153900,40,112,12,15,15,32,1,0,NA,10
72100,40,105,12,11,9,30,1,0,12,10
81500,40,114,12,15,14,31,1,0,12,10
6.00E+04,80,116,12,20,2,38,1,0,8,NA
110000,40,104,12,18,7,37,1,0,11,13
105800,40,85,12,18,19,35,1,0,9,12
96200,40,93,12,15,1,30,1,0,9,12
43300,50,100,12,5,9,37,1,0,8,7
94000,40,71,11,9,2,29,1,0,NA,NA
141700,38,88,16,9,10,32,0,0,12,12
1.00E+05,65,93,12,11,9,29,1,0,12,8
5.00E+04,40,98,13,14,5,32,1,0,12,8
8.00E+04,50,110,14,8,5,28,1,0,12,10
76600,40,109,12,17,18,35,1,0,NA,6
75000,43,94,14,12,10,33,1,0,11,12
55000,40,77,12,15,2,37,1,0,8,8
79500,52,89,11,16,4,34,1,0,NA,NA
72300,40,102,12,12,10,30,1,0,12,6
103900,40,113,14,12,8,34,1,0,16,14
2.00E+04,55,103,10,11,15,32,1,0,12,5
4.00E+04,40,90,10,12,1,32,1,1,8,NA
57500,40,96,11,17,1,35,1,0,12,7
85000,40,97,11,16,5,37,1,0,12,6
50800,50,87,12,16,1,32,1,1,10,NA
116200,45,89,12,11,4,37,1,0,15,NA
119900,43,70,13,13,5,30,1,1,8,NA
127000,40,104,16,8,4,31,1,0,16,17
35000,45,116,16,5,3,33,1,0,11,12
96300,40,85,14,9,9,28,1,1,7,NA
146300,45,104,15,14,11,37,1,0,12,12
80200,40,99,12,13,12,29,1,1,9,12
64200,45,93,12,12,7,30,1,1,6,6
75100,40,114,13,9,2,28,1,0,12,10
48800,40,103,17,5,3,31,1,0,12,16
140000,40,92,12,15,5,36,1,0,6,2
94000,45,98,18,10,7,31,1,0,8,12
86600,40,114,13,15,16,37,1,0,12,NA
67500,40,77,12,20,4,38,1,1,12,6
37500,40,89,14,9,3,30,1,1,13,NA
32500,40,93,14,10,1,33,1,1,16,NA
34600,40,110,12,16,17,38,1,0,12,5
144200,40,132,17,8,1,33,1,0,8,12
56000,49,112,16,13,2,32,1,0,8,2
55000,56,99,12,17,11,36,1,0,12,12
95000,44,96,16,8,10,32,1,1,10,NA
68400,45,106,13,16,2,38,1,0,12,14
132200,40,128,16,7,1,33,1,0,18,NA
163400,40,95,12,18,3,38,1,0,NA,3
41700,40,80,12,8,0,30,0,0,8,7
47200,45,71,11,9,0,32,1,0,6,6
66600,50,89,12,16,1,34,1,1,9,NA
167900,55,127,18,10,3,32,1,0,12,16
103900,40,114,16,1,9,31,0,0,8,8
125000,40,102,13,13,11,30,1,0,7,NA
76000,40,88,12,12,15,31,1,0,12,7
115400,42,88,12,14,12,29,1,0,12,7
160200,60,110,15,14,1,37,1,0,14,12
144200,40,110,13,13,13,29,1,1,7,9
86500,40,130,16,5,3,30,1,0,8,12
70500,50,100,12,15,12,36,1,0,NA,NA
1.00E+05,40,101,12,16,1,35,1,0,12,NA
85200,44,89,10,13,9,32,1,0,9,NA
77000,40,80,12,16,14,35,1,0,12,12
1.00E+05,40,72,12,16,9,34,1,0,12,12
132900,55,115,18,10,5,36,1,0,12,12
168200,40,115,16,10,4,37,1,0,12,17
57700,55,108,16,4,0,31,1,1,8,8
68500,40,93,12,17,7,38,0,0,8,3
57700,40,111,16,8,8,29,0,1,18,18
104000,40,101,12,19,9,38,1,1,11,12
125000,40,92,16,10,11,32,0,0,12,10
6.00E+04,40,115,13,7,7,28,0,0,5,NA
48000,40,76,12,17,3,35,0,1,11,10
1.00E+05,40,93,11,11,0,29,1,0,12,12
98800,48,91,12,15,15,36,1,0,8,8
47800,45,90,10,19,10,34,1,0,9,9
44000,40,84,12,11,2,30,1,1,9,4
48500,40,120,12,11,1,30,1,1,NA,NA
70500,40,89,9,19,0,36,1,1,NA,NA
155000,40,104,12,16,1,34,1,0,9,10
96000,40,107,12,11,9,29,1,1,6,9
1.00E+05,40,100,12,16,14,32,1,0,12,12
62500,40,129,18,4,5,36,1,0,15,15
134600,40,112,16,14,14,35,1,0,12,16
96100,40,76,12,13,13,31,0,1,NA,8
47900,40,97,12,15,1,38,1,0,NA,NA
120100,50,98,11,17,16,36,1,0,11,2
134600,45,60,16,8,2,31,1,0,NA,NA
112200,35,132,18,13,8,32,1,0,12,7
54300,45,90,14,5,7,38,1,1,6,NA
45000,40,63,11,12,4,31,1,1,7,NA
50700,55,110,14,10,4,32,1,0,13,16
54700,60,88,11,17,5,34,1,0,NA,NA
58600,56,98,11,18,16,35,1,0,NA,6
