stock_id,date,Advt_12M_Usd,Advt_3M_Usd,Advt_6M_Usd,Asset_Turnover,Bb_Yld,Bv,Capex_Ps_Cf,Capex_Sales,Cash_Div_Cf,Cash_Per_Share,Cf_Sales,Debtequity,Div_Yld,Dps,Ebit_Bv,Ebit_Noa,Ebit_Oa,Ebit_Ta,Ebitda_Margin,Eps,Eps_Basic,Eps_Basic_Gr,Eps_Contin_Oper,Eps_Dil,Ev,Ev_Ebitda,Fa_Ci,Fcf,Fcf_Bv,Fcf_Ce,Fcf_Margin,Fcf_Noa,Fcf_Oa,Fcf_Ta,Fcf_Tbv,Fcf_Toa,Fcf_Yld,Free_Ps_Cf,Int_Rev,Interest_Expense,Mkt_Cap_12M_Usd,Mkt_Cap_3M_Usd,Mkt_Cap_6M_Usd,Mom_11M_Usd,Mom_5M_Usd,Mom_Sharp_11M_Usd,Mom_Sharp_5M_Usd,Nd_Ebitda,Net_Debt,Net_Debt_Cf,Net_Margin,Netdebtyield,Ni,Ni_Avail_Margin,Ni_Oa,Ni_Toa,Noa,Oa,Ocf,Ocf_Bv,Ocf_Ce,Ocf_Margin,Ocf_Noa,Ocf_Oa,Ocf_Ta,Ocf_Tbv,Ocf_Toa,Op_Margin,Op_Prt_Margin,Oper_Ps_Net_Cf,Pb,Pe,Ptx_Mgn,Recurring_Earning_Total_Assets,Return_On_Capital,Rev,Roa,Roc,Roce,Roe,Sales_Ps,Share_Turn_12M,Share_Turn_3M,Share_Turn_6M,Ta,Tev_Less_Mktcap,Tot_Debt_Rev,Total_Capital,Total_Debt,Total_Debt_Capital,Total_Liabilities_Total_Assets,Vol1Y_Usd,Vol3Y_Usd,R1M_Usd,R3M_Usd,R6M_Usd,R12M_Usd
228,1/31/2018,0.63,0.78,0.7,0.79,0.45,0.02,0.64,0.78,0.68,0.26,0.48,0.5,0.92,0.6,0.04,0.64,0.58,0.6,0.41,0.28,0.28,0.24,0.28,0.28,0.45,0.35,0.5,0.52,0.05,0.47,0.37,0.68,0.63,0.66,0.22,0.48,0.7,0.26,0.3,0.7,0.37,0.37,0.35,0.38,0.73,0.35,0.44,0.85,0.72,0.71,0.33,0.8,0.48,0.33,0.61,0.48,0.37,0.37,0.58,0.03,0.64,0.46,0.85,0.83,0.87,0.17,0.61,0.37,0.26,0.37,0.5,0.26,0.38,0.23,0.8,0.59,0.62,0.8,0.5,0.5,0.43,0.97,1,0.99,0.36,0.7,0.67,0.35,0.66,1,1,0.85,0.57,0.011,0,0,0
250,1/31/2018,0.28,0.29,0.28,0.8,0.65,0.02,0.13,0.16,0.5,0.19,0.5,0.5,0.97,0.75,0.03,0.84,0.81,0.76,0.33,0.17,0.16,0.17,0.16,0.16,0.37,0.63,0.5,0.54,0.03,0.7,0.59,0.97,0.94,0.9,0.15,0.81,0.75,0.19,0.33,0.76,0.38,0.38,0.38,0.4,0.55,0.44,0.58,0.68,0.47,0.35,0.22,0.35,0.24,0.21,0.58,0.5,0.09,0.14,0.41,0.03,0.65,0.41,0.98,0.93,0.87,0.18,0.81,0.54,0.15,0.2,0.5,0.92,0.25,0.07,0.9,0.43,0.44,0.9,0.5,0.5,0.28,0.27,0.27,0.24,0.2,0.5,0.62,0.17,0.5,1,0.99,0.26,0.09,-0.056,-0.062,-0.098,-0.426
349,1/31/2018,0.71,0.71,0.71,0.48,0.63,0.02,0.33,0.38,0.88,0.56,0.47,0.5,0.4,0.77,0.01,0.77,0.78,0.8,0.78,0.66,0.66,0.17,0.66,0.65,0.83,0.8,0.5,0.76,0.01,0.53,0.71,0.7,0.69,0.68,0.25,0.81,0.23,0.56,0.93,0.77,0.85,0.86,0.86,0.88,0.58,0.98,0.72,0.69,0.82,0.97,0.74,0.87,0.76,0.73,0.72,0.84,0.66,0.63,0.69,0.01,0.41,0.59,0.61,0.58,0.56,0.25,0.81,0.98,0.14,0.49,0.5,0.88,0.8,0.95,0.97,0.65,0.8,0.97,0.5,0.5,0.44,0.18,0.14,0.15,0.65,0.59,0.81,0.66,0.81,0.98,0.98,0.1,0.2,0.001,0.006,0.063,0
700,1/31/2018,0.66,0.63,0.65,0.84,0.65,0.02,0.3,0.48,0.68,0.14,0.63,0.5,0.87,0.6,0.01,0.99,0.85,0.86,0.63,0.51,0.51,0.63,0.52,0.51,0.57,0.29,0.5,0.25,0.05,0.21,0.18,0.48,0.37,0.32,0.3,0.46,0.16,0.14,0.48,0.64,0.56,0.55,0.56,0.63,0.11,0.5,0.15,0.31,0.52,0.53,0.74,0.48,0.71,0.72,0.98,0.9,0.17,0.25,0.31,0.02,0.31,0.13,0.78,0.58,0.41,0.24,0.7,0.79,0.69,0.09,0.5,0.15,0.78,0.12,0.99,0.58,0.98,0.99,0.5,0.5,0.32,0.88,0.86,0.86,0.3,0.68,0.53,0.29,0.55,0.98,0.99,0.79,0.64,-0.052,0.055,-0.034,0
728,1/31/2018,0.69,0.66,0.67,0.57,0.8,0.02,0.65,0.61,0.54,0.75,0.63,0.5,0.62,0.84,0.02,0.79,0.68,0.72,0.57,0.8,0.8,0.64,0.8,0.79,0.75,0.53,0.5,0.8,0.02,0.65,0.67,0.89,0.77,0.8,0.14,0.6,0.61,0.75,0.48,0.81,0.76,0.76,0.76,0.45,0.28,0.51,0.28,0.68,0.79,0.06,0.64,0.16,0.8,0.63,0.77,0.6,0.55,0.65,0.77,0.01,0.64,0.58,0.9,0.75,0.78,0.15,0.56,0.71,0.53,0.76,0.5,0.44,0.68,0.38,0.92,0.73,0.77,0.92,0.5,0.5,0.65,0.47,0.4,0.41,0.65,0.72,0.63,0.55,0.77,0.99,0.98,0.24,0.29,0.072,0.106,0.231,0
837,1/31/2018,0.11,0.15,0.12,0.78,0.29,0.02,0.6,0.05,0.5,1,0.06,0.5,0.19,0.19,0.04,0.39,0.38,0.35,0.07,0.01,0.01,0.01,0.01,0.01,0.23,0.8,0.5,0.66,0.02,0.77,0.67,0.91,0.94,0.96,0.92,0.95,0.99,1,0.86,0.64,0.03,0.03,0.03,0.63,0.84,0.45,0.5,0.99,0.64,0.18,0.04,0.01,0.03,0.99,0.02,0.94,0.3,0.27,0.53,0.02,0.74,0.48,0.88,0.91,0.93,0.86,0.93,0.17,0.01,1,0.5,0.5,0.11,0.04,0.35,0.53,0.02,0.35,0.5,0.5,0.99,0.78,0.9,0.86,0.27,0.7,0.64,0.31,0.6,0.99,0.99,0.94,0.94,-0.064,-0.029,-0.227,-0.652
1002,1/31/2018,0.4,0.37,0.37,0.61,1,0.02,0.54,0.82,0.62,0.22,0.57,0.5,0.73,0.46,0.03,0.7,0.75,0.79,0.65,0.4,0.39,0.56,0.4,0.39,0.18,0.47,0.5,0.19,0.06,0.32,0.36,0.42,0.51,0.51,0.25,0.39,0.29,0.22,0.35,0.4,0.16,0.14,0.15,0.52,0.75,0.47,0.75,0.84,0.46,0.65,0.73,0.85,0.31,0.71,0.87,0.68,0.12,0.09,0.17,0.03,0.54,0.53,0.68,0.76,0.8,0.2,0.54,0.78,0.77,0.23,0.5,0.15,0.77,1,0.87,0.13,0.87,0.87,0.5,0.5,0.25,0.95,0.93,0.94,0.07,0.51,0.8,0.09,0.37,0.99,1,0.63,0.7,-0.032,0.018,0.378,0
1031,1/31/2018,0.36,0.19,0.23,0.87,0.56,0.02,0.16,0.21,0.5,0.28,0.2,0.5,0.13,0.2,0.02,0.76,0.56,0.53,0.13,0.11,0.11,0.22,0.11,0.11,0.31,0.23,0.5,0.51,0.03,0.49,0.24,0.82,0.56,0.52,0.14,0.41,0.95,0.28,0.12,0.72,0.22,0.13,0.15,0.01,0.02,0.01,0.02,0.73,0.6,0.08,0.11,0.01,0.07,0.1,0.08,0.08,0.25,0.4,0.46,0.02,0.5,0.12,0.85,0.56,0.49,0.13,0.36,0.22,0.75,0.08,0.5,0.5,0.15,0.86,0.8,0.71,0.09,0.8,0.5,0.5,0.29,0.83,0.63,0.69,0.43,0.69,0.41,0.34,0.6,0.99,0.98,0.93,0.96,0.082,0.008,-0.348,-0.041
1113,1/31/2018,0.57,0.61,0.58,0.96,0.98,0.02,0.71,0.47,0.54,0.7,0.29,0.5,0.91,0.74,0.03,0.75,0.74,0.79,0.31,0.66,0.65,0.26,0.66,0.66,0.33,0.25,0.5,0.54,0.03,0.74,0.4,0.86,0.86,0.92,0.16,0.66,0.91,0.7,0.19,0.52,0.28,0.26,0.25,0.22,0.65,0.23,0.5,0.77,0.62,0.21,0.33,0.11,0.48,0.33,0.83,0.63,0.23,0.23,0.49,0.03,0.76,0.3,0.9,0.9,0.96,0.15,0.71,0.35,0.22,0.73,0.5,0.06,0.32,1,0.93,0.59,0.85,0.93,0.5,0.5,0.83,0.98,0.99,0.99,0.19,0.64,0.5,0.18,0.53,1,1,0.74,0.48,-0.112,0.202,0.322,0.154
23,1/31/2018,0.27,0.17,0.2,0.79,0.45,0.03,0.62,0.19,0.39,0.15,0.08,0.5,0.97,0.46,0.02,0.48,0.35,0.36,0.11,0.02,0.02,0.02,0.02,0.02,0.31,0.23,0.5,0.14,0.14,0.12,0.13,0.14,0.13,0.13,0.33,0.11,0.15,0.15,0.27,0.77,0.11,0.08,0.08,0.03,0.05,0.04,0.09,0.86,0.7,0.22,0.06,0.04,0.02,0.06,0.03,0.03,0.44,0.46,0.22,0.02,0.09,0.06,0.16,0.19,0.19,0.25,0.17,0.15,0.02,0.19,0.5,0.5,0.06,0.04,0.38,0.75,0.03,0.38,0.98,0.01,0.9,0.9,0.77,0.83,0.45,0.73,0.41,0.43,0.64,0.98,0.98,0.92,0.88,-0.12,0.035,-0.247,0
50,1/31/2018,0.69,0.65,0.65,0.78,0.71,0.03,0.43,0.54,0.12,0.75,0.61,0.5,0.2,0.02,0.01,0.81,0.83,0.82,0.57,0.7,0.69,0.76,0.7,0.69,0.71,0.97,0.5,0.62,0.01,0.8,0.7,0.93,0.94,0.95,0.06,0.79,0.21,0.75,0.3,0.44,0.75,0.74,0.75,0.76,0.18,0.7,0.16,0.58,0.52,0.76,0.75,0.65,0.64,0.74,0.96,0.84,0.23,0.21,0.53,0.01,0.8,0.61,0.94,0.96,0.96,0.07,0.8,0.74,0.72,0.52,0.5,0.88,0.75,0.74,0.94,0.45,0.96,0.94,1,1,0.45,0.48,0.41,0.41,0.24,0.1,0.62,0.28,0.52,0.98,0.98,0.55,0.84,0.001,0.042,0.31,0
211,1/31/2018,0.56,0.6,0.57,1,0.99,0.03,0.66,0.51,0.45,0.51,0.27,0.5,0.48,0.58,0.01,0.81,0.82,0.84,0.23,0.68,0.67,0.65,0.68,0.67,0.34,0.75,0.5,0.35,0.01,0.73,0.32,0.87,0.88,0.93,0.09,0.71,0.4,0.51,0.17,0.19,0.37,0.3,0.33,0.07,0.05,0.02,0.02,0.59,0.4,0.68,0.43,0.78,0.43,0.42,0.95,0.82,0.09,0.09,0.31,0.01,0.78,0.25,0.94,0.95,0.98,0.08,0.78,0.35,0.64,0.52,0.5,0.57,0.46,0.77,0.98,0.43,0.99,0.98,0.5,0.5,0.74,0.93,0.97,0.94,0.07,0.55,0.31,0.06,0.29,0.98,0.98,0.66,0.58,-0.114,-0.027,-0.348,-0.337
342,1/31/2018,0.28,0.3,0.28,0.75,0.59,0.03,0.34,0.46,0.49,0.72,0.68,0.5,0.42,0.59,0.02,0.84,0.84,0.84,0.61,0.65,0.64,0.59,0.65,0.64,0.41,0.75,0.5,0.55,0.01,0.78,0.8,0.96,0.96,0.97,0.07,0.81,0.52,0.72,0.26,0.48,0.47,0.49,0.48,0.87,0.83,0.95,0.92,0.62,0.45,0.25,0.77,0.26,0.51,0.76,0.95,0.81,0.1,0.12,0.43,0.02,0.77,0.71,0.97,0.96,0.98,0.09,0.8,0.84,0.61,0.54,0.5,0.52,0.79,0.9,0.98,0.28,0.96,0.98,0.5,0.5,0.37,0.12,0.13,0.1,0.13,0.17,0.68,0.12,0.41,0.99,0.99,0.14,0.23,-0.038,-0.023,-0.05,-0.026
371,1/31/2018,0.39,0.43,0.39,0.87,0.11,0.03,0.65,0.35,0.42,0.78,0.19,0.5,0.82,0.53,0.01,0.56,0.57,0.61,0.19,0.35,0.34,0.5,0.34,0.34,0.24,0.23,0.5,0.55,0.01,0.61,0.39,0.73,0.77,0.8,0.08,0.57,0.95,0.78,0.24,0.67,0.1,0.13,0.11,0.5,1,0.36,0.92,0.85,0.64,0.24,0.18,0.11,0.3,0.18,0.43,0.36,0.36,0.32,0.48,0.01,0.61,0.27,0.74,0.77,0.81,0.09,0.54,0.27,0.5,0.7,0.5,0.04,0.19,0.08,0.7,0.6,0.42,0.7,0.5,0.5,0.84,0.98,0.97,0.97,0.3,0.57,0.52,0.33,0.56,0.97,0.98,0.97,0.98,-0.074,0.294,-0.154,-0.459
534,1/31/2018,0.24,0.22,0.23,0.65,0.85,0.03,0.09,0.12,0.5,0.55,0.61,0.5,0.15,0.06,0.01,0.99,0.86,0.86,0.6,0.53,0.52,0.5,0.53,0.53,0.22,0.29,0.5,0.45,0.01,0.8,0.69,0.97,0.98,0.99,0.04,0.84,0.79,0.55,0.04,0.5,0.26,0.29,0.28,0.54,0.84,0.43,0.64,0.48,0.37,0.22,0.82,0.14,0.53,0.8,1,0.88,0.06,0.05,0.31,0.01,0.8,0.53,0.97,0.98,1,0.04,0.83,0.81,0.5,0.22,0.5,0.03,0.81,0.48,1,0.26,0.95,1,0.5,0.5,0.24,0.42,0.28,0.33,0.05,0.33,0.48,0.06,0.28,0.99,0.99,0.87,0.72,0.137,0.273,0.8,0
583,1/31/2018,0.74,0.68,0.68,0.85,0.47,0.03,0.28,0.33,0.1,0.23,0.12,0.5,0.05,0.14,0.01,0.47,0.34,0.36,0.16,0.15,0.15,0.5,0.14,0.15,0.41,0.28,0.5,0.22,0.05,0.15,0.15,0.19,0.18,0.19,0.27,0.15,0.25,0.23,0.17,0.73,0.29,0.25,0.26,0.07,0.13,0.1,0.21,0.82,0.7,0.65,0.15,0.78,0.28,0.15,0.27,0.24,0.48,0.51,0.35,0.02,0.1,0.08,0.24,0.22,0.22,0.17,0.19,0.2,0.5,0.07,0.5,0.82,0.15,0.04,0.69,0.72,0.28,0.69,0.5,0.5,0.41,1,1,1,0.48,0.76,0.43,0.4,0.63,0.98,0.97,0.95,0.99,-0.186,-0.164,-0.085,0
