iter	Passed	Remaining
694	2992	1313
695	2996	1308
696	3000	1304
697	3004	1299
698	3008	1295
699	3012	1291
700	3016	1286
701	3020	1282
702	3024	1277
703	3028	1273
704	3032	1268
705	3036	1264
706	3040	1260
707	3045	1255
708	3049	1251
709	3053	1247
710	3057	1242
711	3061	1238
712	3065	1233
713	3069	1229
714	3073	1225
715	3077	1220
716	3081	1216
717	3085	1211
718	3089	1207
719	3093	1203
720	3097	1198
721	3101	1194
722	3105	1189
723	3109	1185
724	3114	1181
725	3118	1176
726	3122	1172
727	3126	1168
728	3130	1163
729	3134	1159
730	3138	1155
731	3142	1150
732	3146	1146
733	3151	1141
734	3155	1137
735	3159	1133
736	3163	1128
737	3167	1124
738	3171	1120
739	3175	1115
740	3179	1111
741	3183	1106
742	3187	1102
743	3191	1098
744	3195	1093
745	3199	1089
746	3203	1084
747	3207	1080
748	3211	1076
749	3215	1071
750	3219	1067
751	3223	1063
752	3227	1058
753	3231	1054
754	3235	1049
755	3239	1045
756	3243	1041
757	3247	1036
758	3251	1032
759	3256	1028
760	3259	1023
761	3263	1019
762	3267	1015
763	3272	1010
764	3276	1006
765	3280	1002
766	3284	997
767	3288	993
768	3292	988
769	3296	984
770	3300	980
771	3304	976
772	3308	971
773	3312	967
774	3316	962
775	3320	958
776	3324	954
777	3328	949
778	3332	945
779	3336	940
780	3340	936
781	3344	932
782	3348	927
783	3352	923
784	3356	919
785	3360	914
786	3364	910
787	3367	906
788	3371	901
789	3375	897
790	3379	892
791	3383	888
792	3387	884
793	3391	879
794	3395	875
795	3399	871
796	3403	866
797	3407	862
798	3411	858
799	3414	853
800	3418	849
801	3422	845
802	3426	840
803	3430	836
804	3435	832
805	3439	827
806	3443	823
807	3447	819
808	3451	814
809	3455	810
810	3459	806
811	3463	801
812	3467	797
813	3471	793
814	3475	788
815	3479	784
816	3483	780
817	3487	775
818	3491	771
819	3495	767
820	3498	762
821	3502	758
822	3506	754
823	3510	749
824	3515	745
825	3519	741
826	3523	737
827	3527	732
828	3530	728
829	3534	724
830	3538	719
831	3542	715
832	3546	710
833	3550	706
834	3554	702
835	3558	698
836	3562	693
837	3566	689
838	3571	685
839	3575	681
840	3579	676
841	3583	672
842	3587	668
843	3591	663
844	3595	659
845	3599	655
846	3603	650
847	3607	646
848	3611	642
849	3615	638
850	3620	633
851	3624	629
852	3627	625
853	3631	620
854	3636	616
855	3640	612
856	3644	608
857	3647	603
858	3651	599
859	3655	595
860	3659	590
861	3663	586
862	3667	582
863	3672	578
864	3676	573
865	3679	569
866	3683	565
867	3687	560
868	3691	556
869	3695	552
870	3699	547
871	3703	543
872	3707	539
873	3711	535
874	3715	530
875	3720	526
876	3724	522
877	3727	518
878	3732	513
879	3736	509
880	3740	505
881	3744	500
882	3748	496
883	3751	492
884	3755	488
885	3759	483
886	3763	479
887	3767	475
888	3771	470
889	3775	466
890	3779	462
891	3783	458
892	3787	453
893	3791	449
894	3794	445
895	3799	440
896	3803	436
897	3807	432
898	3811	428
899	3815	423
900	3818	419
901	3822	415
902	3826	411
903	3831	406
904	3835	402
905	3838	398
906	3842	394
907	3846	389
908	3850	385
909	3854	381
910	3858	376
911	3862	372
912	3866	368
913	3870	364
914	3874	359
915	3878	355
916	3882	351
917	3886	347
918	3890	342
919	3894	338
920	3898	334
921	3902	330
922	3906	325
923	3910	321
924	3914	317
925	3918	313
926	3922	308
927	3925	304
928	3930	300
929	3934	296
930	3938	291
931	3942	287
932	3946	283
933	3950	279
934	3953	274
935	3957	270
936	3962	266
937	3966	262
938	3970	257
939	3974	253
940	3977	249
941	3981	245
942	3985	240
943	3989	236
944	3993	232
945	3997	228
946	4001	223
947	4005	219
948	4009	215
949	4013	211
950	4017	206
951	4020	202
952	4024	198
953	4028	194
954	4032	190
955	4037	185
956	4041	181
957	4045	177
958	4048	173
959	4052	168
960	4056	164
961	4060	160
962	4064	156
963	4068	151
964	4072	147
965	4077	143
966	4081	139
967	4085	135
968	4089	130
969	4093	126
970	4097	122
971	4101	118
972	4104	113
973	4109	109
974	4113	105
975	4117	101
976	4121	97
977	4125	92
978	4129	88
979	4133	84
980	4137	80
981	4141	75
982	4145	71
983	4149	67
984	4153	63
985	4157	59
986	4161	54
987	4165	50
988	4169	46
989	4173	42
990	4177	37
991	4181	33
992	4185	29
993	4189	25
994	4193	21
995	4197	16
996	4200	12
997	4204	8
998	4209	4
999	4213	0
